sub,trial,certain_reward,risky_gain,risky_loss,choice,choice_rt,outcome,happiness_raw,happiness_z,spinner_rt,spinner_rad,spinner_deg,happiness_fill_raw,happiness_fill_z,total_score
1,1,0,40,-40,1,7.3,40,74,1.9937817239893405,6.58,5.108,292.666841752824,74,1.9937817239893405,40
1,2,35,70,0,0,4.998,35,NA,NA,NA,NA,NA,74,1.9937817239893405,75
1,3,-30,0,-65,0,2.447,-30,50,0.04068942293855797,NA,NA,NA,50,0.04068942293855797,45
1,4,0,40,-54,1,3.799,40,NA,NA,6.58,5.485,314.267350629257,50,0.04068942293855797,85
1,5,-55,0,-124,1,4.399,-124,NA,NA,6.579,2.595,148.682547836449,50,0.04068942293855797,-39
1,6,55,90,0,0,3.322,55,50,0.04068942293855797,NA,NA,NA,50,0.04068942293855797,16
1,7,-30,0,-65,1,7.001,-65,NA,NA,6.579,1.338,76.6617529885041,50,0.04068942293855797,-49
1,8,-45,0,-90,0,2.425,-45,NA,NA,NA,NA,NA,50,0.04068942293855797,-94
1,9,0,40,-8,1,2.324,-8,39,-0.8544778817097174,6.579,1.464,83.8810212071525,39,-0.8544778817097174,-102
1,10,-55,0,-110,1,5.125,0,NA,NA,6.579,4.443,254.565148376625,39,-0.8544778817097174,-102
1,11,-35,0,-140,0,2.023,-35,56,0.5289624982012536,NA,NA,NA,56,0.5289624982012536,-137
1,12,45,82,0,0,6.476,45,NA,NA,NA,NA,NA,56,0.5289624982012536,-92
1,13,30,62,0,1,1.821,0,NA,NA,6.579,0.081,4.64095814055967,56,0.5289624982012536,-92
1,14,30,81,0,1,2.021,0,53,0.2848259605699058,6.579,2.218,127.082038960017,53,0.2848259605699058,-92
1,15,0,75,-75,1,3.3,-75,NA,NA,6.579,2.092,119.862770741368,53,0.2848259605699058,-167
1,16,-45,0,-77,1,2.449,-77,NA,NA,6.578,0.207,11.860226359208,53,0.2848259605699058,-244
1,17,0,75,-150,0,2.974,0,25,-1.9937817239893405,NA,NA,NA,25,-1.9937817239893405,-244
1,18,-45,0,-122,1,2.45,-122,NA,NA,6.579,0.673,38.5600596123044,25,-1.9937817239893405,-366
1,19,-45,0,-108,1,5.749,0,NA,NA,6.579,5.448,312.147406787273,25,-1.9937817239893405,-366
1,20,35,64,0,1,4.298,0,42,-0.6103413440783696,6.579,0.17,9.740282517224,42,-0.6103413440783696,-366
1,21,30,53,0,0,2.399,30,NA,NA,NA,NA,NA,42,-0.6103413440783696,-336
1,22,45,144,0,0,1.221,45,50,0.04068942293855797,NA,NA,NA,50,0.04068942293855797,-291
1,23,35,64,0,0,1.149,35,NA,NA,NA,NA,NA,50,0.04068942293855797,-256
1,24,0,40,-44,1,1.945,40,NA,NA,6.578,3.851,220.64604690488,50,0.04068942293855797,-216
1,25,0,75,-67,1,4.573,-67,63,1.0986144193410652,6.579,0.081,4.64095814055967,63,1.0986144193410652,-283
1,26,-55,0,-149,0,3.451,-55,NA,NA,NA,NA,NA,63,1.0986144193410652,-338
1,27,30,120,0,1,1.573,0,NA,NA,6.578,0.584,33.4607352356401,63,1.0986144193410652,-338
1,28,-35,0,-57,0,3.199,-35,50,0.04068942293855797,NA,NA,NA,50,0.04068942293855797,-373
1,29,0,55,-35,0,7.749,0,NA,NA,NA,NA,NA,50,0.04068942293855797,-373
1,30,30,120,0,1,1.349,0,42,-0.6103413440783696,6.578,0.207,11.860226359208,42,-0.6103413440783696,-373
2,1,45,87,0,1,5.034,87,61,0.18047690160664995,4.38,3.6,206.264806247096,61,0.18047690160664995,87
2,2,0,75,-38,1,19.719,-38,NA,NA,4.382,2.181,124.962095118033,61,0.18047690160664995,49
2,3,0,75,-26,0,2.299,0,65,0.3042324912797813,NA,NA,NA,65,0.3042324912797813,49
2,4,35,68,0,1,3.668,68,NA,NA,4.382,4.354,249.46582399996,65,0.3042324912797813,117
2,5,30,55,0,1,3.871,55,NA,NA,4.379,6.239,357.468368382121,65,0.3042324912797813,172
2,6,35,74,0,1,3.2,0,83,0.8611326448088723,4.38,2.092,119.862770741368,83,0.8611326448088723,172
2,7,30,51,0,1,2.869,0,NA,NA,4.381,2.469,141.4632796178,83,0.8611326448088723,172
2,8,0,75,-150,0,5.233,0,NA,NA,NA,NA,NA,83,0.8611326448088723,172
2,9,-45,0,-87,1,5.618,-87,20,-1.0880178925429462,4.384,2.846,163.063788494232,20,-1.0880178925429462,85
2,10,-30,0,-56,1,4.001,-56,NA,NA,4.382,1.929,110.523558680736,20,-1.0880178925429462,29
2,11,35,140,0,1,3.515,140,100,1.3870939009196805,4.382,5.233,299.82881419196,100,1.3870939009196805,169
2,12,-30,0,-64,0,2.73,-30,NA,NA,NA,NA,NA,100,1.3870939009196805,139
2,13,45,98,0,1,3,98,NA,NA,4.382,3.348,191.8262698098,100,1.3870939009196805,237
2,14,-55,0,-117,0,3.366,-55,82,0.8301937473905895,NA,NA,NA,82,0.8301937473905895,182
2,15,0,55,-42,0,4.305,0,NA,NA,NA,NA,NA,82,0.8301937473905895,182
2,16,-45,0,-77,1,2.402,-77,NA,NA,4.386,0.71,40.6800034542884,82,0.8301937473905895,105
2,17,45,82,0,0,2.097,45,69,0.42798808095291263,NA,NA,NA,69,0.42798808095291263,150
2,18,-55,0,-120,0,2.052,-55,NA,NA,NA,NA,NA,69,0.42798808095291263,95
2,19,-45,0,-102,0,4.336,-45,NA,NA,NA,NA,NA,69,0.42798808095291263,50
2,20,0,75,-48,0,2.798,0,17,-1.1808345847977948,NA,NA,NA,17,-1.1808345847977948,50
2,21,-45,0,-102,1,3.034,-102,NA,NA,4.382,0.333,19.0794945778564,17,-1.1808345847977948,-52
2,22,30,58,0,0,2.155,30,57,0.056721311933518606,NA,NA,NA,57,0.056721311933518606,-22
2,23,0,40,-36,1,3.252,40,NA,NA,4.384,6.239,357.468368382121,57,0.056721311933518606,18
2,24,30,56,0,0,2.135,30,NA,NA,NA,NA,NA,57,0.056721311933518606,48
2,25,-45,0,-102,0,4.517,-45,23,-0.9952012002880978,NA,NA,NA,23,-0.9952012002880978,3
2,26,-55,0,-103,0,3.238,-55,NA,NA,NA,NA,NA,23,-0.9952012002880978,-52
2,27,-35,0,-70,0,2.97,-35,NA,NA,NA,NA,NA,23,-0.9952012002880978,-87
2,28,0,40,-14,1,4.017,-14,0,-1.706795840908603,4.382,0.081,4.64095814055967,0,-1.706795840908603,-101
2,29,45,108,0,0,1.437,45,NA,NA,NA,NA,NA,0,-1.706795840908603,-56
2,30,0,40,-31,1,2.117,40,85,0.9230104396454379,4.382,3.348,191.8262698098,85,0.9230104396454379,-16
3,1,0,40,-80,0,10.685,0,41,-0.7836310802303036,NA,NA,NA,41,-0.7836310802303036,0
3,2,0,75,-15,1,18.019,75,NA,NA,4.382,4.443,254.565148376625,41,-0.7836310802303036,75
3,3,-35,0,-140,1,12.518,-140,34,-1.737616743119369,4.383,2.181,124.962095118033,34,-1.737616743119369,-65
3,4,-35,0,-66,1,6.001,-66,NA,NA,4.383,2.181,124.962095118033,34,-1.737616743119369,-131
3,5,55,149,0,1,7.651,0,NA,NA,4.383,0.421,24.1215231750077,34,-1.737616743119369,-131
3,6,0,55,-19,0,3.568,0,39,-1.0561984124843222,NA,NA,NA,39,-1.0561984124843222,-131
3,7,-30,0,-55,1,3.967,-55,NA,NA,4.383,0.798,45.7220320514397,39,-1.0561984124843222,-186
3,8,30,72,0,0,3.968,30,NA,NA,NA,NA,NA,39,-1.0561984124843222,-156
3,9,55,97,0,0,2,55,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,-101
3,10,55,110,0,0,3.298,55,NA,NA,NA,NA,NA,50,0.4429219149127803,-46
3,11,-30,0,-56,0,5.384,-30,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,-76
3,12,30,72,0,1,4.617,72,NA,NA,4.383,5.951,340.967183882353,50,0.4429219149127803,-4
3,13,-45,0,-85,1,5.917,0,NA,NA,4.384,6.076,348.129156321488,50,0.4429219149127803,-4
3,14,-35,0,-70,1,4.134,-70,45,-0.23849641572226632,4.383,0.044,2.52101429857562,45,-0.23849641572226632,-74
3,15,-45,0,-102,0,2.999,-45,NA,NA,NA,NA,NA,45,-0.23849641572226632,-119
3,16,0,55,-35,0,2.834,0,NA,NA,NA,NA,NA,45,-0.23849641572226632,-119
3,17,-30,0,-56,1,3.785,0,56,1.2606239116748363,4.382,5.825,333.747915663705,56,1.2606239116748363,-119
3,18,55,132,0,1,3.701,0,NA,NA,4.383,0.673,38.5600596123044,56,1.2606239116748363,-119
3,19,55,103,0,1,2.75,0,NA,NA,4.384,0.421,24.1215231750077,56,1.2606239116748363,-119
3,20,55,90,0,1,2.2,0,42,-0.6473474141032943,4.383,2.432,139.343335775816,42,-0.6473474141032943,-119
3,21,55,100,0,1,3.466,100,NA,NA,4.383,5.448,312.147406787273,42,-0.6473474141032943,-19
3,22,0,75,-15,1,3.667,75,60,1.8057585761828736,4.383,6.202,355.348424540137,60,1.8057585761828736,56
3,23,30,120,0,1,2.55,0,NA,NA,4.384,3.06,175.325085310032,60,1.8057585761828736,56
3,24,-35,0,-140,0,2.101,-35,NA,NA,NA,NA,NA,60,1.8057585761828736,21
3,25,0,75,-101,0,3.8,0,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,21
3,26,0,75,-83,0,2.817,0,NA,NA,NA,NA,NA,50,0.4429219149127803,21
